time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.45964594003e-07,3.29525394913e-07,10.0042058837,0.000291737999541,0.000147765947937,0.0,-1.32806936429e-05,2.82876478851e-05,0.140188464259,0.0131470083343,0.00698235544021,0.0,448.52233956775456,449.0889046485242,449.6020386102559,450.66568653243024
0.12000000000000001,-6.44145925353e-06,1.29181771559e-05,10.0192534126,0.00129753960692,0.000592512689139,0.0,-0.000248378242847,0.000499955415458,0.361351369245,0.0231601958415,0.00825906892411,0.0,473.39342944878024,473.4915265868464,473.8257757748938,474.59471276441
0.18,-3.7185321675e-05,7.90632089965e-05,10.0465607924,0.00261304927898,0.000809558845323,0.0,-0.000819807385216,0.00186040145754,0.548822537614,0.019333304681,-0.00782135263729,0.0,464.76847402911477,463.50659990358986,463.99119016236193,463.69069517020756
0.23999999999999996,-0.000102975114958,0.000255076334289,10.0845679901,0.00387209624007,0.000503694618995,0.0,-0.00133016532331,0.0041424222215,0.717992232419,0.0240963883523,-0.000141734326775,0.0,458.16309901823854,458.77326681009464,458.6642440386065,459.0422901886121
0.3,-0.000193148491044,0.000589825718303,10.1306983632,0.00572536021573,0.000142977208786,0.0,-0.00166062384322,0.00718694799758,0.819618282087,0.0418436315039,-0.0215843122535,0.0,438.67442941340386,436.89056646466133,437.4034540897271,438.87907085736003
0.36000000000000004,-0.000290406385367,0.00118214892071,10.1882599678,0.00809333896544,6.28215536517,0.0,-0.00142307361736,0.012869920071,1.09887379227,0.0342298710231,-0.0157602910255,0.0,490.7713771426703,491.2034816135474,491.70381129817036,491.1401330523202
0.4200000000000001,-0.0003478363138,0.00215369126722,10.2599874194,0.0106008013324,6.28146960794,0.0,-0.0003984149135,0.0197808064861,1.29184062942,0.053738381842,-0.00393305294048,0.0,465.8273636716647,466.75132637617224,466.3129811107383,467.8350688278232
0.48000000000000015,-0.000341795699909,0.00353080318292,10.3368330257,0.0137701901853,6.28114705947,0.0,0.000623110526579,0.0263915418849,1.2697013076,0.0509275615246,-0.00842994601464,0.0,398.16620027603346,397.75471089872815,398.1684534718043,397.9134244218912
0.5400000000000001,-0.000251848973414,0.00547352975736,10.4204220648,0.016589131864,6.28121206092,0.0,0.00239592415772,0.0387269178941,1.51630052723,0.0376187251913,0.0153847823246,0.0,481.7979107841667,483.59490830213,483.3515921027055,482.3487731474157
0.6000000000000002,-7.31241506806e-05,0.0081309310066,10.5133462193,0.0191848033638,6.28248431039,0.0,0.00345323191472,0.0500882528429,1.58107946683,0.0526583075361,0.0308490776006,0.0,426.8836530603919,428.2011281595466,427.6343378715317,428.9145094697463
0.6600000000000003,0.000141642309271,0.0115799362977,10.6130001086,0.0221359806556,0.00153278306845,0.0,0.00347666581036,0.0652136953509,1.74048045745,0.0411390987061,0.0476390608254,0.0,456.9346732660681,458.2716857659512,458.508311473673,457.59372133180335
0.7200000000000003,0.000303403434095,0.0160056525057,10.7224685392,0.0241962319963,0.00442276085783,0.0,0.00159387409321,0.0825640192647,1.90819508325,0.015077829092,0.0492001124943,0.0,460.0182818979458,460.1431993785721,462.64404687764585,460.58807523909536
0.7800000000000004,0.000301468334916,0.0214385903957,10.838937667,0.0256594009802,0.00731268982774,0.0,-0.00194113262101,0.0986501116803,1.97399253363,0.0384491868118,0.0460122571675,0.0,429.327096631095,429.0580559809495,428.9728452814725,430.95287480915215
0.8400000000000004,2.62101151539e-05,0.0278869286692,10.9600124714,0.0278570741874,0.00973018887991,0.0,-0.0074959602556,0.116516050644,2.06167097191,0.0327118768167,0.0252679398711,0.0,437.4026937345933,435.67261114111017,437.44069815927725,436.9633396967814
0.9000000000000005,-0.000626253484972,0.0354488695233,11.0862904771,0.0296655155775,0.0112913327667,0.0,-0.0144050068079,0.135732710714,2.14743032182,0.0244273402263,0.0274803192013,0.0,437.02107295412634,437.20557867945405,436.460040272651,435.7684092036963
0.9600000000000005,-0.00179891411113,0.044387321929,11.224018615,0.0310769762465,0.0132531010287,0.0,-0.0249154086824,0.162386040442,2.44291428492,0.0216544809729,0.0414903627766,0.0,498.6770375469978,499.69959212918064,499.6722476607411,499.4700631481426
1.0200000000000005,-0.00359792413488,0.0548240894354,11.3750850227,0.0324168474009,0.0159030373275,0.0,-0.0353285492918,0.185639472528,2.5922953509,0.0236512322922,0.0490396584662,0.0,456.88091304617444,457.4834382103319,458.8726938214404,459.03117765628707
1.0800000000000005,-0.00603179220088,0.0665863639557,11.5320580402,0.0340206842511,0.0186517474098,0.0,-0.0460677829098,0.206574944304,2.64001789017,0.0322695724718,0.038418313399,0.0,427.16653331846345,426.2611515437854,426.44140116468566,427.17713038755244
1.1400000000000006,-0.00922903714969,0.0797607183703,11.6954949361,0.0358744486428,0.0206747075754,0.0,-0.0607443209738,0.232767883018,2.80746720262,0.0279974971289,0.0220924117013,0.0,465.8343694317636,464.55639466461173,463.95337045954875,463.61811798204906
1.2000000000000006,-0.013491227594,0.0947903440713,11.8756877429,0.0374178776875,0.0229301813259,0.0,-0.0815825186275,0.268416055882,3.19793333216,0.0207378654519,0.0578995518797,0.0,527.0709802569623,529.5401863041925,527.9572258146924,527.4561271344745
1.2600000000000007,-0.018912013824,0.111733806893,12.07218208,0.0389839073398,0.0266315464411,0.0,-0.0994953918973,0.296504204909,3.3514202154,0.0351044913602,0.0683550292179,0.0,462.5216402759667,463.34689995836993,463.0724956284637,464.20136758848236
